"box","lat","lon","mnasc","area","count","lat1","lat2","lat3","lat4","lon1","lon2","lon3","lon4","arean","part","latmin","lonmin","ea","nfish","nfish.i","nfish.m","mass","mass.i","mass.m","reg","old.area","old.arean","area.part"
769,67.875,-20.25,715.159842519685,586.261606451218,127,67.75,67.75,68,68,-20.5,-20,-20,-20.5,170.926535101629,0.42,15,30,51340.7134488009,555841645.253243,40497034.1541648,515344611.099078,10863.0197286524,431.333116716516,10431.6866119358,4,586.261606451218,170.926535101629,1
770,67.875,-19.75,251.083739837398,586.261606451222,123,67.75,67.75,68,68,-20,-19.5,-19.5,-20,170.92653510163,0.52,15,30,22316.7743087981,241613170.430871,17603245.2742492,224009925.156622,4721.93593176525,187.491820254356,4534.44411151089,4,586.261606451222,170.92653510163,1
771,67.875,-19.25,133.6,586.261606451222,78,67.75,67.75,68,68,-19.5,-19,-19,-19.5,170.92653510163,0.6,15,30,13701.4710537467,148339352.948398,10807581.4290975,137531771.5193,2899.05107214449,115.111337887957,2783.93973425653,4,586.261606451222,170.92653510163,1
539,66.625,-12.75,0,617.448978636579,84,66.5,66.5,66.75,66.75,-13,-12.5,-12.5,-13,180.019317927434,1,15,30,0,0,0,0,0,0,0,5,617.448978636579,180.019317927434,1
587,66.875,-13.25,17.9325242718447,611.236028769007,206,66.75,66.75,67,67,-13.5,-13,-13,-13.5,178.207911582659,0.91,15,30,2908.1031069006,29608688.3562098,829043.273973873,28779645.0822359,676.113214266516,9.59913676508321,666.514077501432,5,611.236028769007,178.207911582659,1
588,66.875,-12.75,9.61346153846154,611.236028769009,208,66.75,66.75,67,67,-13,-12.5,-12.5,-13,178.207911582659,0.87,15,30,1490.47956634902,15175233.9442878,424906.550440058,14750327.3938477,346.525860108454,4.9198108447381,341.606049263716,5,611.236028769009,178.207911582659,1
626,67.125,-18.25,190.419191919192,605.010694250664,198,67,67,67.25,67.25,-18.5,-18,-18,-18.5,176.392894451467,0.77,15,30,25863.2161647365,263324881.945852,7373096.69448387,255951785.251369,6013.01314623826,85.3699267268453,5927.64321951142,5,605.010694250664,176.392894451467,1
627,67.125,-17.75,379.031884057971,605.010694250664,138,67,67,67.25,67.25,-18,-17.5,-17.5,-18,176.392894451467,0.98,15,30,65521.3604960108,667102049.785597,18678857.3939967,648423192.3916,15233.2486227721,216.274484540491,15016.9741382316,5,605.010694250664,176.392894451467,1
628,67.125,-17.25,281.6703125,605.010694250661,64,67,67,67.25,67.25,-17.5,-17,-17,-17.5,176.392894451466,0.55,15,30,27326.5529366082,278223763.053513,7790265.36549837,270433497.688015,6353.22850037645,90.200143981949,6263.0283563945,5,605.010694250661,176.392894451466,1
629,67.125,-16.75,55.9277777777778,605.010694250664,18,67,67,67.25,67.25,-17,-16.5,-16.5,-17,176.392894451467,0.27,15,30,2663.62090266438,27119506.5329474,759346.182922528,26360160.3500249,619.272846899593,8.79214401798156,610.480702881612,5,605.010694250664,176.392894451467,1
633,67.125,-14.75,33.6923076923077,605.010694250661,13,67,67,67.25,67.25,-15,-14.5,-14.5,-15,176.392894451466,0.35,15,30,2080.07928610844,21178210.3572771,592989.890003759,20585220.4672733,483.603586380008,6.86597579782924,476.737610582179,5,605.010694250661,176.392894451466,1
634,67.125,-14.25,276.608928571429,605.010694250664,56,67,67,67.25,67.25,-14.5,-14,-14,-14.5,176.392894451467,0.71,15,30,34642.2131747017,352707746.649433,9875816.90618411,342831929.743248,8054.06728642993,114.347851463746,7939.71943496618,5,605.010694250664,176.392894451467,1
